Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2006 273.5952 29.51525 -3.519366 0 -3.446075 0 -3.437554 0 -3.408391 0 2.806652 2.685894 81.49865 81.49865 NA 231 
2007 253.6933 26.94254 -3.266998 0 -3.165511 0 -3.091647 0 -3.116789 0 0 0 85.91371 85.91371 NA 213 
2008 293.7542 32.31448 -3.758741 0 -3.690258 0 -3.692357 0 -3.657894 0 3.726619 3.589758 78.44788 78.44788 NA 204 
2009 307.6072 31.86596 -2.940275 0 -2.76985 0 -2.719929 0 -2.688737 0 0 0 90.1928 90.1928 NA 224 
2010 197.1875 24.63418 -4.615973 0 -4.594248 0 -4.614872 0 -4.584149 0 10.27623 10.16503 68.38537 63.82067 NA 181 
2011 274.2508 27.12647 -2.742287 0 -2.45182 0 -2.351292 0 -2.312378 0 0 0 90.83398 90.83398 NA NA 
2012 237.2448 24.95354 -4.406395 0 -4.381103 0 -4.409214 0 -4.368457 0 0 0 74.04143 74.04143 NA 203 
2013 307.1379 33.24019 -4.359056 0 -4.316419 0 -4.367921 0 -4.295769 0 0 0 74.41112 74.41112 NA 198 
2014 302.3631 31.10518 -2.411174 0 -2.017008 0 -1.825679 0 -1.820972 0 0 0 91.91308 91.91308 NA NA 
2015 212.6508 26.04351 -5.429591 0 -5.414941 0 -5.458768 0 -5.410949 0 23.46801 23.38207 58.25175 50.76685 NA 192 
2016 296.643 30.51288 -2.679329 0 -2.295821 0 -2.165107 0 -2.110451 0 0 0 91.03851 91.03851 NA NA 
2017 263.2492 28.25544 -3.789028 0 -3.677173 0 -3.679165 0 -3.626142 0 0 0 79.58799 79.58799 NA 192 
2018 231.9155 26.47319 -5.173065 0 -5.159862 0 -5.195048 0 -5.153474 0 0 0 68.99635 68.99635 NA 210 
2019 262.7219 27.99331 -3.728326 0 -3.655339 0 -3.645311 0 -3.631124 0 0 0 80.23253 80.23253 NA 190 
2020 307.5297 32.85548 -3.173112 0 -2.957973 0 -2.997768 0 -2.868079 0 0 0 87.27221 87.27221 NA 218 
2021 258.2084 27.12524 -3.367715 0 -3.266963 0 -3.234733 0 -3.236035 0 0 0 84.54058 84.54058 NA 219 
2022 290.787 29.97051 -3.216071 0 -3.088168 0 -3.04075 0 -3.041884 0 0 0 86.64076 86.64076 NA 248 
2023 230.1399 33.58949 -6.71322 0 -6.432415 0 -6.466034 0 -6.371565 0 50.99082 49.14704 41.95504 25.10561 NA 183 
2024 254.0003 26.84294 -3.470285 0 -3.361765 0 -3.305247 0 -3.311189 0 0 0 83.22411 83.22411 NA 209 
2025 304.6289 30.76095 -2.951503 0 -2.832461 0 -2.803321 0 -2.785647 0 0 0 90.15654 90.15654 NA 276 
2026 224.1978 25.77342 -3.912078 0 -3.834508 0 -3.875898 0 -3.809297 0 0 0 78.3428 78.3428 NA 199 
2027 332.4836 33.99961 -3.31113 0 -3.197983 0 -3.162096 0 -3.151423 0 0 0 85.30176 85.30176 NA 218 
2028 238.4853 26.14707 -3.718922 0 -3.664687 0 -3.659007 0 -3.640601 0 0 0 80.33427 80.33427 NA 198 
2029 282.8671 30.11967 -3.788685 0 -3.730349 0 -3.758119 0 -3.70118 0 0 0 79.59158 79.59158 NA 206 
2030 309.7669 31.19198 -3.153097 0 -3.042025 0 -3.013773 0 -2.987559 0 0 0 87.57227 87.57227 NA 215 
2031 252.7195 25.5357 -3.871635 0 -3.817974 0 -3.832659 0 -3.791143 0 0 0 78.74332 78.74332 NA 230 
2032 294.0148 29.34004 -3.213214 0 -3.068042 0 -3.033666 0 -2.996526 0 0 0 86.68223 86.68223 NA 243 
2033 298.5259 30.51973 -3.564572 0 -3.52396 0 -3.52642 0 -3.503842 0 0 0 82.08079 82.08079 NA 232 
2034 230.8295 26.52019 -5.658924 0 -5.634277 0 -5.68042 0 -5.624187 0 0 0 66.5068 66.5068 NA 188 
2035 237.7163 25.61996 -4.376019 0 -4.30223 0 -4.365272 0 -4.268087 0 0 0 74.27773 74.27773 NA 197 
2036 286.1985 31.19909 -3.688417 0 -3.61898 0 -3.617595 0 -3.584261 0 0 0 80.66785 80.66785 NA 204 
2037 280.9126 28.8757 -4.096781 0 -4.072085 0 -4.081633 0 -4.062896 0 0 0 76.61411 76.61411 NA 222 
2038 342.9384 35.12509 -2.664021 0 -2.377946 0 -2.281368 0 -2.264159 0 0 0 91.08829 91.08829 NA NA 
2039 270.1155 28.04282 -4.062843 0 -4.021748 0 -4.061226 0 -4.001201 0 0 0 76.91996 76.91996 NA 215 
2040 235.6361 30.49701 -6.50447 0 -6.49028 0 -6.531293 0 -6.481839 0 52.70574 52.45321 41.97877 34.20849 NA 198 
2041 284.5362 31.99419 -4.374437 0 -4.296143 0 -4.294138 0 -4.260688 0 0 0 74.29013 74.29013 NA 192 
2042 283.0049 30.59331 -4.732686 0 -4.687731 0 -4.750121 0 -4.667246 0 0 0 71.69447 71.69447 NA 201 
2043 258.0732 26.46079 -4.595099 0 -4.546984 0 -4.610287 0 -4.535981 0 0 0 72.64348 72.64348 NA 200 
2044 253.0927 30.0841 -4.618545 0 -4.58553 0 -4.639019 0 -4.570284 0 0 0 72.47776 72.47776 NA 180 
