Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2046 272.444 29.07806 -4.404203 0 -4.375333 0 -4.413165 0 -4.360898 0 0 0 59.52749 59.52749 NA 226 46 0 0 
2047 293.5088 31.12729 -3.495525 0 -3.426591 0 -3.427395 0 -3.395136 0 0 0 66.26709 66.26709 NA 214 8 0 0 
2048 265.435 28.20888 -3.858847 0 -3.815227 0 -3.831396 0 -3.793417 0 0 0 63.19152 63.19152 NA 210 11 0 0 
2049 278.2615 29.19251 -3.345599 0 -3.247876 0 -3.220045 0 -3.199015 0 0 0 67.73093 67.73093 NA 223 0 0 0 
2050 243.485 26.51697 -4.989038 0 -4.963551 0 -5.006852 0 -4.950808 0 0 0 56.48833 56.48833 NA 208 55 3 0 
2051 299.1388 31.10201 -3.809625 0 -3.754033 0 -3.753929 0 -3.726237 0 0 0 63.57384 63.57384 NA 195 10 0 0 
2052 248.9118 27.39292 -5.437622 0 -5.424148 0 -5.463526 0 -5.418447 0 0 0 54.60024 54.60024 NA 203 79 31 0 
2053 259.1612 28.65095 -4.997724 0 -4.907569 0 -5.006668 0 -4.862491 0 0 0 56.44855 56.44855 NA 195 60 3 0 
2054 300.5303 30.53257 -3.004148 0 -2.838066 0 -2.840101 0 -2.756852 0 0 0 69.30704 69.30704 NA 238 0 0 0 
2055 286.3904 31.43256 -4.04799 0 -3.987391 0 -4.045451 0 -3.970935 0 0 0 61.80892 61.80892 NA 202 26 0 0 
2056 262.7491 29.31471 -5.652346 0 -5.615738 0 -5.675996 0 -5.602977 0 0 0 53.80253 53.80253 NA 193 46 16 0 
2057 253.9826 26.57186 -3.970303 0 -3.938235 0 -3.96491 0 -3.922201 0 0 0 62.36085 62.36085 NA 225 17 0 0 
2058 281.3567 30.18039 -4.431399 0 -4.391395 0 -4.435135 0 -4.374274 0 0 0 59.36837 59.36837 NA 209 35 0 0 
2059 234.0082 25.76413 -3.945603 0 -3.872243 0 -3.929223 0 -3.837329 0 0 0 62.54089 62.54089 NA 198 83 0 0 
2060 283.3563 27.55392 -3.459581 0 -3.413159 0 -3.419719 0 -3.404592 0 0 0 66.60648 66.60648 NA 243 4 0 0 
2061 263.7471 27.59809 -4.769621 0 -4.733808 0 -4.779395 0 -4.715902 0 0 0 57.5412 57.5412 NA 197 40 0 0 
