Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2051 291.0039 29.67477 -3.183624 0 -3.054235 0 -3.020381 0 -2.994485 0 0 0 63.34349 63.34349 NA 211 
2052 266.0182 29.30495 -4.397305 0 -4.354627 0 -4.384599 0 -4.333288 0 0 0 53.88786 53.88786 NA 198 
2053 252.8361 26.89936 -3.811334 0 -3.762807 0 -3.758767 0 -3.738544 0 0 0 57.70121 57.70121 NA 208 
2054 323.2832 32.71459 -3.652213 0 -3.564964 0 -3.570826 0 -3.536946 0 0 0 58.94799 58.94799 NA 224 
2055 305.0424 29.51113 -3.274447 0 -3.203667 0 -3.157716 0 -3.169097 0 0 0 62.39326 62.39326 NA 260 
2056 366.0133 36.87605 -2.523506 0 -2.125704 0 -1.961432 0 -1.93276 0 0 0 66.56457 66.56457 NA NA 
2057 313.9151 32.88564 -4.407069 0 -4.369644 0 -4.404721 0 -4.350932 0 0 0 53.8329 53.8329 NA 205 
2058 338.4645 33.91586 -2.52718 0 -2.108434 0 -1.926518 0 -1.899061 0 0 0 66.55586 66.55586 NA NA 
2059 273.8199 28.84149 -3.516801 0 -3.493811 0 -3.505639 0 -3.482315 0 0 0 60.09786 60.09786 NA 241 
2060 315.6473 31.21689 -3.111626 0 -2.952069 0 -2.951834 0 -2.89692 0 0 0 64.1362 64.1362 NA 270 
2061 207.9362 24.06233 -5.594129 0 -5.583572 0 -5.611573 0 -5.578293 0 0 0 48.58138 48.58138 NA 187 
2062 276.6927 29.46208 -4.179512 0 -4.155407 0 -4.183292 0 -4.143354 0 0 0 55.18035 55.18035 NA 228 
2063 307.1311 30.26721 -2.821461 0 -2.568942 0 -2.480158 0 -2.460534 0 0 0 65.86011 65.86011 NA NA 
2064 252.0683 28.02381 -5.557893 0 -5.522414 0 -5.608507 0 -5.508561 0 0 0 48.7085 48.7085 NA 172 
2065 275.4053 27.93757 -4.244451 0 -4.205421 0 -4.226995 0 -4.185906 0 0 0 54.78109 54.78109 NA 218 
2066 279.0996 29.07505 -4.317693 0 -4.278809 0 -4.316114 0 -4.259368 0 0 0 54.34519 54.34519 NA 197 
