Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2051 198.3454 26.90292 -6.604569 0 -6.579441 0 -6.639156 0 -6.560277 0 55.36251 54.79355 40.56654 26.35244 NA 184 
2052 342.69 35.23047 -3.856259 0 -3.718111 0 -3.763001 0 -3.653318 0 0 0 78.89781 78.89781 NA 201 
2053 304.5331 29.25555 -3.287555 0 -3.154436 0 -3.091854 0 -3.092746 0 0 0 85.62662 85.62662 NA 240 
2054 263.7646 28.77608 -4.249266 0 -4.212629 0 -4.250546 0 -4.196059 0 0 0 75.30022 75.30022 NA 168 
2055 297.1261 30.51189 -3.359729 0 -3.293063 0 -3.263975 0 -3.264822 0 0 0 84.64646 84.64646 NA 207 
2056 257.0502 26.61391 -3.484591 0 -3.434719 0 -3.409742 0 -3.411638 0 0 0 83.04666 83.04666 NA 229 
2057 279.1576 29.4041 -3.902168 0 -3.878649 0 -3.879906 0 -3.86689 0 0 0 78.44017 78.44017 NA 205 
2058 233.1096 27.40726 -5.879431 0 -5.847454 0 -5.8906 0 -5.83185 0 0 0 65.51267 65.51267 NA 177 
2059 255.0541 26.91592 -4.854258 0 -4.833213 0 -4.875609 0 -4.823541 0 0 0 70.9007 70.9007 NA 208 
2060 324.6353 32.04403 -3.876275 0 -3.82913 0 -3.842437 0 -3.805558 0 0 0 78.69694 78.69694 NA 238 
2061 380.3476 37.84431 -3.525303 0 -3.318291 0 -3.214528 0 -3.217515 0 0 0 82.54953 82.54953 NA 222 
2062 312.8744 30.85902 -5.048583 0 -5.007907 0 -5.064476 0 -4.987735 0 0 0 69.71131 69.71131 NA 208 
