Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2046 276.3548 28.17334 -3.869518 0 -3.839568 0 -3.862229 0 -3.824593 0 0 0 63.10992 63.10992 NA 215 12 0 0 
2047 287.5941 30.0722 -3.891962 0 -3.819478 0 -3.859014 0 -3.783235 0 0 0 62.93975 62.93975 NA 219 16 0 0 
2048 251.3018 28.0408 -5.619953 0 -5.594321 0 -5.652607 0 -5.584268 0 0 0 53.91896 53.91896 NA 196 40 15 0 
2049 350.3001 35.119 -3.128632 0 -2.958404 0 -2.968168 0 -2.879264 0 0 0 69.02478 69.02478 NA 172 0 0 0 
2050 298.1103 30.97408 -3.492326 0 -3.417823 0 -3.411726 0 -3.380571 0 0 0 66.29701 66.29701 NA 205 3 0 0 
2051 252.4396 26.8237 -4.509841 0 -4.462044 0 -4.518527 0 -4.449641 0 0 0 58.9202 58.9202 NA 213 31 0 0 
2052 320.0936 33.11479 -2.948468 0 -2.759571 0 -2.738982 0 -2.6681 0 0 0 69.43359 69.43359 NA 230 0 0 0 
2053 256.8218 25.24357 -3.622687 0 -3.526835 0 -3.554215 0 -3.478909 0 0 0 65.12048 65.12048 NA 202 3 0 0 
2054 314.2125 30.99453 -3.271662 0 -3.182584 0 -3.130905 0 -3.139104 0 0 0 68.50224 68.50224 NA 230 0 0 0 
2055 271.6543 28.55116 -3.930951 0 -3.871561 0 -3.892497 0 -3.856025 0 0 0 62.64876 62.64876 NA 229 19 0 0 
2056 288.7517 30.86111 -4.066654 0 -4.023282 0 -4.064912 0 -4.001596 0 0 0 61.67946 61.67946 NA 204 35 0 0 
2057 281.6952 29.95246 -4.080592 0 -4.023375 0 -4.057411 0 -4.01255 0 0 0 61.58356 61.58356 NA 211 48 0 0 
2058 253.1924 26.3923 -3.60429 0 -3.512892 0 -3.511759 0 -3.488794 0 0 0 65.28135 65.28135 NA 216 9 0 0 
