Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2006 0 38.99709 -2.258634 0 -1.484923 0 -1.085928 0 -1.097017 0 0.2737162 0.1720223 NaN NaN NA NA NA NA NA 
2007 207.5359 24.39892 -4.40827 0 -4.382047 0 -4.42236 0 -4.369803 0 8.154457 8.045091 56.76356 56.76356 NA 201 36 2 0 
2008 250.0581 27.98306 -3.748306 0 -3.587837 0 -3.57271 0 -3.512051 0 0 0 64.06416 64.06416 NA 203 14 0 0 
2009 218.9855 27.85099 -4.923189 0 -4.874457 0 -4.946812 0 -4.853135 0 13.81606 13.51422 52.15206 47.09731 NA 183 102 10 0 
2010 328.1646 33.10305 -2.643669 0 -2.271235 0 -2.168826 0 -2.097506 0 0 0 70.12949 70.12949 NA NA 0 0 0 
2011 290.527 31.23129 -2.461957 0 -1.883867 0 -1.707925 0 -1.594822 0 0 0 70.54688 70.54688 NA NA 0 0 0 
2012 258.4905 26.68845 -3.677316 0 -3.600366 0 -3.587445 0 -3.561891 0 0 0 64.65224 64.65224 NA 222 7 0 0 
2013 297.057 31.67328 -3.311766 0 -3.17546 0 -3.140731 0 -3.120459 0 0 0 68.0796 68.0796 NA 234 0 0 0 
2014 277.5407 28.25338 -3.011579 0 -2.795469 0 -2.792995 0 -2.69347 0 0 0 69.29017 69.29017 NA 238 0 0 0 
2015 354.8097 34.3636 -2.500212 0 -1.933515 0 -1.738353 0 -1.650166 0 0 0 70.45886 70.45886 NA NA 0 0 0 
2016 264.7709 28.91418 -3.625474 0 -3.561235 0 -3.565358 0 -3.530846 0 0 0 65.09624 65.09624 NA 191 6 0 0 
