Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2047 209.5678 22.54047 -3.851486 0 -3.776681 0 -3.792275 0 -3.739279 0 0 0 63.24807 63.24807 NA 202 36 0 0 
2048 304.8685 32.634 -3.732143 0 -3.616347 0 -3.632719 0 -3.560861 0 0 0 64.19609 64.19609 NA 223 5 0 0 
2049 324.7986 32.33868 -3.050084 0 -2.886808 0 -2.882744 0 -2.808142 0 0 0 69.20278 69.20278 NA 214 0 0 0 
2050 316.1075 31.72441 -3.422301 0 -3.356425 0 -3.346356 0 -3.323487 0 0 0 66.96601 66.96601 NA 239 1 0 0 
2051 287.1649 30.25456 -3.536579 0 -3.410352 0 -3.3735 0 -3.352131 0 0 0 65.8879 65.8879 NA 216 2 0 0 
2052 208.8977 23.28403 -3.658752 0 -3.585624 0 -3.599304 0 -3.552057 0 0 0 64.80979 64.80979 NA 183 13 0 0 
2053 236.0076 29.6541 -5.537277 0 -5.516114 0 -5.563107 0 -5.510414 0 25.71827 25.58782 45.60919 38.8721 NA 197 158 19 0 
2054 258.4011 27.66695 -3.359115 0 -3.247184 0 -3.202896 0 -3.191218 0 0 0 67.59361 67.59361 NA 218 0 0 0 
2055 240.5268 26.08463 -3.66744 0 -3.642283 0 -3.646846 0 -3.63162 0 0 0 64.73585 64.73585 NA 200 32 0 0 
2056 301.0811 30.78428 -2.876837 0 -2.675701 0 -2.647883 0 -2.593723 0 0 0 69.59665 69.59665 NA NA 0 0 0 
2057 297.7407 29.7714 -3.272196 0 -3.19202 0 -3.150419 0 -3.151932 0 0 0 68.49654 68.49654 NA 253 0 0 0 
2058 305.0799 32.36159 -3.572464 0 -3.477354 0 -3.470944 0 -3.429799 0 0 0 65.56358 65.56358 NA 200 5 0 0 
2059 232.6924 26.19225 -4.3369 0 -4.317948 0 -4.33585 0 -4.311019 0 0 0 59.92982 59.92982 NA 226 28 0 0 
2060 270.2658 26.2521 -2.909594 0 -2.845954 0 -2.842141 0 -2.814667 0 0 0 69.52205 69.52205 NA 286 0 0 0 
2061 250.3287 27.04857 -3.391085 0 -3.316695 0 -3.30019 0 -3.286334 0 0 0 67.27315 67.27315 NA 204 0 0 0 
2062 309.257 30.97083 -3.294843 0 -3.196149 0 -3.16611 0 -3.160967 0 0 0 68.25669 68.25669 NA 247 0 0 0 
2063 252.7299 25.86393 -3.914584 0 -3.859406 0 -3.872292 0 -3.844453 0 0 0 62.77021 62.77021 NA 212 18 0 0 
2064 238.829 26.35179 -3.910947 0 -3.859759 0 -3.901172 0 -3.834165 0 0 0 62.79733 62.79733 NA 204 26 0 0 
2065 221.6767 26.88547 -4.899511 0 -4.844414 0 -4.937235 0 -4.816865 0 0 0 56.90653 56.90653 NA 176 27 1 0 
2066 237.9212 26.72884 -3.665158 0 -3.601257 0 -3.602684 0 -3.575828 0 0 0 64.75524 64.75524 NA 213 24 0 0 
2067 315.6811 29.67705 -2.871125 0 -2.616063 0 -2.574605 0 -2.512592 0 0 0 69.60967 69.60967 NA NA 0 0 0 
2068 250.5123 26.73973 -4.743201 0 -4.689532 0 -4.769272 0 -4.662697 0 0 0 57.67454 57.67454 NA 187 27 0 0 
2069 324.5251 32.168 -3.448962 0 -3.378901 0 -3.381847 0 -3.343871 0 0 0 66.7081 66.7081 NA 241 1 0 0 
2070 299.5702 29.70573 -2.889507 0 -2.655881 0 -2.635415 0 -2.554104 0 0 0 69.56779 69.56779 NA NA 0 0 0 
2071 212.5902 25.08248 -4.831829 0 -4.670624 0 -4.7097 0 -4.601649 0 0 0 57.23298 57.23298 NA 180 90 0 0 
2072 321.1103 32.24838 -3.037483 0 -2.88587 0 -2.88143 0 -2.81234 0 0 0 69.23137 69.23137 NA 248 0 0 0 
2073 262.0197 25.97003 -3.635536 0 -3.580393 0 -3.573091 0 -3.554914 0 0 0 65.00907 65.00907 NA 213 7 0 0 
2074 334.2154 31.50487 -3.408015 0 -3.309496 0 -3.28842 0 -3.266536 0 0 0 67.10588 67.10588 NA 221 0 0 0 
2075 264.3534 28.2054 -3.566167 0 -3.490184 0 -3.515837 0 -3.452192 0 0 0 65.62002 65.62002 NA 213 5 0 0 
2076 273.321 28.42848 -3.560698 0 -3.481838 0 -3.499368 0 -3.442408 0 0 0 65.6692 65.6692 NA 221 4 0 0 
2077 294.4749 30.74994 -3.767755 0 -3.740338 0 -3.754006 0 -3.726629 0 0 0 63.90691 63.90691 NA 224 26 0 0 
2078 256.3112 28.16981 -3.763557 0 -3.67675 0 -3.677142 0 -3.634818 0 0 0 63.94071 63.94071 NA 209 17 0 0 
2079 282.3706 29.85286 -3.560385 0 -3.511977 0 -3.500109 0 -3.487776 0 0 0 65.67202 65.67202 NA 257 20 0 0 
2080 305.3131 29.52564 -2.966065 0 -2.741503 0 -2.729253 0 -2.637477 0 0 0 69.39358 69.39358 NA 250 0 0 0 
2081 236.585 26.3287 -4.203027 0 -4.105564 0 -4.189777 0 -4.079471 0 0 0 60.76843 60.76843 NA 205 42 0 0 
2082 290.8422 30.45146 -3.629634 0 -3.563151 0 -3.590421 0 -3.529909 0 0 0 65.06015 65.06015 NA 195 8 0 0 
2083 305.1579 31.07441 -2.798841 0 -2.476843 0 -2.416767 0 -2.363565 0 0 0 69.77455 69.77455 NA NA 0 0 0 
2084 258.2509 28.33955 -4.039521 0 -3.973588 0 -4.002595 0 -3.940621 0 0 0 61.86805 61.86805 NA 214 41 0 0 
2085 235.3861 27.2031 -4.40598 0 -4.370834 0 -4.410919 0 -4.355999 0 0 0 59.51703 59.51703 NA 200 32 0 0 
2086 309.0767 30.12102 -3.047063 0 -2.876441 0 -2.869203 0 -2.837623 0 0 0 69.20963 69.20963 NA 273 0 0 0 
2087 307.653 30.86042 -3.057863 0 -2.896686 0 -2.900797 0 -2.817743 0 0 0 69.18513 69.18513 NA 244 0 0 0 
2088 278.2922 27.82711 -3.263451 0 -3.199638 0 -3.179974 0 -3.168135 0 0 0 68.59005 68.59005 NA 228 0 0 0 
2089 324.0281 31.28007 -2.54334 0 -2.362544 0 -2.344013 0 -2.272146 0 0 0 70.35972 70.35972 NA NA 0 0 0 
2090 271.6299 28.97438 -4.745412 0 -4.648262 0 -4.705679 0 -4.602088 0 0 0 57.66333 57.66333 NA 210 18 0 0 
2091 316.9955 32.06923 -3.107526 0 -2.966597 0 -2.992782 0 -2.914583 0 0 0 69.07257 69.07257 NA 225 0 0 0 
2092 298.2715 29.9358 -3.55804 0 -3.388646 0 -3.329477 0 -3.310018 0 0 0 65.69316 65.69316 NA 209 1 0 0 
2093 329.6587 31.9343 -2.600229 0 -2.220088 0 -2.124289 0 -2.073758 0 0 0 70.22911 70.22911 NA NA 0 0 0 
2094 300.0101 29.59555 -3.273268 0 -3.124936 0 -3.092959 0 -3.060595 0 0 0 68.48511 68.48511 NA 213 0 0 0 
2095 281.0763 29.74869 -4.281197 0 -4.232652 0 -4.306785 0 -4.208858 0 0 0 60.27239 60.27239 NA 210 48 0 0 
2096 304.2409 31.81715 -4.115812 0 -4.040431 0 -4.088172 0 -4.00274 0 0 0 61.3441 61.3441 NA 215 13 0 0 
2097 265.5969 29.50077 -3.762544 0 -3.716986 0 -3.722872 0 -3.707167 0 0 0 63.94889 63.94889 NA 222 49 0 0 
2098 254.3943 28.40928 -4.847893 0 -4.836595 0 -4.861848 0 -4.831456 0 0 0 57.15467 57.15467 NA 210 58 0 0 
2099 249.8564 27.08578 -3.908405 0 -3.854659 0 -3.883412 0 -3.827786 0 0 0 62.81632 62.81632 NA 184 26 0 0 
2100 324.2364 30.61122 -2.726677 0 -2.477835 0 -2.402391 0 -2.378708 0 0 0 69.93945 69.93945 NA NA 0 0 0 
