Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure yearly_nbDayLFMC_67 yearly_nbDayLFMC_57 yearly_nbDayLFMC_43 
2047 287.2171 30.45519 -4.079851 0 -4.04613 0 -4.074367 0 -4.02927 0 0 0 61.58864 61.58864 NA 247 21 0 0 
2048 277.4574 30.48198 -3.621244 0 -3.572709 0 -3.569683 0 -3.548442 0 0 0 65.13303 65.13303 NA 208 8 0 0 
2049 230.8078 25.94308 -3.862452 0 -3.803586 0 -3.826304 0 -3.774152 0 0 0 63.1639 63.1639 NA 190 19 0 0 
2050 286.0671 30.20312 -3.6642 0 -3.607578 0 -3.612926 0 -3.579267 0 0 0 64.76338 64.76338 NA 212 13 0 0 
2051 269.6424 28.26772 -4.425475 0 -4.401755 0 -4.437199 0 -4.390015 0 0 0 59.40287 59.40287 NA 203 28 0 0 
2052 250.9223 26.88889 -3.57683 0 -3.489903 0 -3.511166 0 -3.446439 0 0 0 65.52457 65.52457 NA 200 7 0 0 
2053 216.9994 29.275 -5.9907 0 -5.948115 0 -6.062408 0 -5.929106 0 36.76615 36.23746 40.32672 30.08587 NA 178 177 38 7 
2054 291.405 31.7256 -4.54599 0 -4.487336 0 -4.571445 0 -4.458009 0 0 0 58.71886 58.71886 NA 208 21 0 0 
2055 319.2335 32.56829 -4.161384 0 -4.08042 0 -4.147429 0 -4.058415 0 0 0 61.04029 61.04029 NA 193 14 0 0 
2056 271.6236 30.60367 -5.66431 0 -5.624374 0 -5.703877 0 -5.604406 0 0 0 53.75986 53.75986 NA 202 55 28 0 
2057 288.129 29.07999 -3.479483 0 -3.40809 0 -3.417637 0 -3.37947 0 0 0 66.41769 66.41769 NA 226 3 0 0 
2058 336.2181 32.25556 -3.011977 0 -2.792923 0 -2.818717 0 -2.688888 0 0 0 69.28926 69.28926 NA 221 0 0 0 
2059 197.7531 31.8072 -6.508312 0 -6.281411 0 -6.297319 0 -6.15239 0 46.5077 42.65897 35.55836 22.99438 NA 148 202 76 12 
2060 271.8821 28.08774 -4.202102 0 -4.105586 0 -4.167089 0 -4.062772 0 0 0 60.77441 60.77441 NA 199 21 0 0 
2061 227.6589 29.25314 -6.386528 0 -6.329566 0 -6.4347 0 -6.313088 0 47.88823 47.395 35.46883 24.55759 NA 191 166 75 22 
