Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2051 274.2531 30.39817 -5.265525 0 -5.222517 0 -5.290438 0 -5.206598 0 19.57646 19.27745 60.65661 51.76483 NA 220 
2052 328.321 31.24175 -3.502504 0 -3.430688 0 -3.41117 0 -3.39478 0 0 0 82.8265 82.8265 NA 216 
2053 316.2666 30.03506 -3.213169 0 -3.082538 0 -3.035292 0 -3.018446 0 0 0 86.68288 86.68288 NA 221 
2054 248.4581 32.68251 -6.024463 0 -5.831187 0 -5.86217 0 -5.753694 0 33.59343 31.5276 51.53698 38.22995 NA 174 
2055 323.2778 30.0063 -3.26196 0 -3.177647 0 -3.115085 0 -3.135491 0 0 0 85.98462 85.98462 NA 256 
2056 261.1664 26.5981 -3.739568 0 -3.692687 0 -3.700999 0 -3.677277 0 0 0 80.11159 80.11159 NA 217 
2057 307.4389 31.16301 -3.535088 0 -3.498278 0 -3.482575 0 -3.479873 0 0 0 82.43176 82.43176 NA 206 
2058 241.5276 30.59111 -6.126487 0 -6.116016 0 -6.147613 0 -6.110888 0 41.562 41.41259 47.85905 35.7978 NA 183 
2059 306.4987 29.37976 -3.328694 0 -3.293919 0 -3.292115 0 -3.276532 0 0 0 85.06272 85.06272 NA 241 
2060 323.0202 29.41993 -3.402358 0 -3.302708 0 -3.274164 0 -3.258194 0 0 0 84.08707 84.08707 NA 245 
2061 362.3284 32.62423 -3.193295 0 -3.062209 0 -3.032294 0 -3.008283 0 0 0 86.97342 86.97342 NA 215 
2062 352.9777 32.74151 -2.966381 0 -2.766372 0 -2.737799 0 -2.668895 0 0 0 90.10849 90.10849 NA 246 
2063 353.2613 33.84098 -2.62235 0 -2.299441 0 -2.186489 0 -2.145125 0 0 0 91.22389 91.22389 NA NA 
2064 354.8466 32.87441 -3.043653 0 -2.883123 0 -2.858042 0 -2.804295 0 0 0 89.28289 89.28289 NA 224 
2065 311.7272 31.08894 -4.536852 0 -4.50813 0 -4.54931 0 -4.494786 0 0 0 73.06258 73.06258 NA 221 
2066 296.855 30.37492 -3.803879 0 -3.754718 0 -3.760588 0 -3.735675 0 0 0 79.43343 79.43343 NA 201 
2067 349.8969 33.30636 -3.237594 0 -3.110641 0 -3.062012 0 -3.063551 0 0 0 86.3307 86.3307 NA 238 
2068 234.1859 24.43014 -4.894953 0 -4.847463 0 -4.904947 0 -4.823718 0 0 0 70.64381 70.64381 NA 200 
2069 274.3119 29.29408 -4.601096 0 -4.555614 0 -4.611515 0 -4.533653 0 0 0 72.60093 72.60093 NA 200 
2070 251.9443 28.7709 -6.414302 0 -6.394477 0 -6.419541 0 -6.375563 0 49.8343 49.26694 43.45453 30.87323 NA 213 
2071 360.8467 34.00571 -3.060292 0 -2.884451 0 -2.881555 0 -2.814783 0 0 0 89.01493 89.01493 NA 231 
2072 351.6168 32.92878 -3.413341 0 -3.320089 0 -3.278242 0 -3.273462 0 0 0 83.94521 83.94521 NA 257 
2073 391.0941 34.09297 -2.587884 0 -2.132488 0 -1.96919 0 -1.941992 0 0 0 91.33614 91.33614 NA NA 
2074 292.5557 28.40206 -4.430198 0 -4.373705 0 -4.423627 0 -4.345458 0 0 0 73.85853 73.85853 NA 213 
2075 347.0707 34.02845 -4.932366 0 -4.705527 0 -4.750249 0 -4.674979 0 0 0 70.41137 70.41137 NA 182 
2076 346.277 33.17504 -3.591417 0 -3.515842 0 -3.49703 0 -3.478054 0 0 0 81.76624 81.76624 NA 215 
2077 299.2765 29.27502 -4.915814 0 -4.887898 0 -4.922112 0 -4.873939 0 0 0 70.51376 70.51376 NA 192 
2078 375.4239 33.59083 -3.15075 0 -3.036457 0 -3.01389 0 -2.981076 0 0 0 87.60771 87.60771 NA 250 
2079 309.1934 30.72868 -5.285106 0 -5.257265 0 -5.315969 0 -5.246613 0 0 0 68.38165 68.38165 NA 185 
2080 261.3688 27.62312 -4.639048 0 -4.503078 0 -4.500839 0 -4.440527 0 0 0 72.33422 72.33422 NA 178 
2081 346.8521 32.06298 -4.039088 0 -3.954867 0 -3.979751 0 -3.938979 0 0 0 77.13709 77.13709 NA 213 
2082 227.4581 34.69905 -6.674225 0 -6.608871 0 -6.642159 0 -6.538442 0 56.26556 54.14373 39.98111 23.6594 NA 172 
2083 392.8295 38.24813 -4.262252 0 -4.209136 0 -4.258301 0 -4.182578 0 0 0 75.19267 75.19267 NA 217 
2084 216.0319 29.4708 -7.750712 0 -7.734508 0 -7.726523 0 -7.692313 0 83.28575 82.50258 26.04132 13.60758 NA 198 
2085 328.1214 31.71087 -3.959338 0 -3.916896 0 -3.933871 0 -3.896729 0 0 0 77.88513 77.88513 NA 205 
2086 330.2177 31.12955 -3.711783 0 -3.66834 0 -3.674834 0 -3.646619 0 0 0 80.41184 80.41184 NA 221 
2087 377.3984 34.89068 -3.356462 0 -3.288669 0 -3.249385 0 -3.256284 0 0 0 84.68992 84.68992 NA 255 
2088 345.4927 34.76256 -5.071102 0 -5.042374 0 -5.07834 0 -5.02801 0 0 0 69.57937 69.57937 NA 206 
2089 289.9788 31.01629 -6.142858 0 -6.059048 0 -6.12519 0 -6.017977 0 0 0 64.4186 64.4186 NA 186 
2090 257.8967 28.29613 -6.730076 0 -6.694943 0 -6.762216 0 -6.681567 0 0 0 62.28801 62.28801 NA 177 
2091 361.1216 34.38967 -5.018655 0 -4.75634 0 -4.818726 0 -4.729973 0 0 0 69.88849 69.88849 NA 204 
2092 333.3256 32.8902 -4.363826 0 -4.322487 0 -4.371453 0 -4.302844 0 0 0 74.37351 74.37351 NA 194 
2093 315.9606 33.49496 -6.974581 0 -5.329038 0 -4.056978 0 -4.506266 0 0 0 61.50667 61.50667 NA 194 
2094 412.5337 35.0037 -2.822809 0 -2.515658 0 -2.450056 0 -2.365889 0 0 0 90.57284 90.57284 NA NA 
2095 275.9493 29.73115 -7.627899 0 -7.598221 0 -7.68023 0 -7.587946 0 0 0 59.66466 59.66466 NA 188 
2096 361.2588 32.49078 -3.71719 0 -3.651882 0 -3.648636 0 -3.619228 0 0 0 80.35306 80.35306 NA 237 
2097 340.4726 34.79135 -3.546639 0 -3.469341 0 -3.475033 0 -3.446449 0 0 0 82.29356 82.29356 NA 152 
2098 307.1786 31.31375 -5.677832 0 -5.632993 0 -5.711771 0 -5.614037 0 0 0 66.41853 66.41853 NA 174 
2099 272.6615 28.34733 -6.92518 0 -6.887936 0 -6.982602 0 -6.873403 0 0 0 61.66009 61.66009 NA 198 
2100 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
