Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2051 290.7421 30.68927 -3.502866 0 -3.432632 0 -3.411463 0 -3.398342 0 0 0 60.22124 60.22124 NA 220 
2052 215.0747 25.39773 -6.002869 0 -5.98699 0 -6.025104 0 -5.979256 0 0 0 47.25384 47.25384 NA 186 
2053 257.381 28.46794 -5.570166 0 -5.552711 0 -5.6002 0 -5.546186 0 0 0 48.66526 48.66526 NA 184 
2054 282.3663 31.49151 -3.972526 0 -3.912632 0 -3.95114 0 -3.882684 0 0 0 56.54004 56.54004 NA 198 
2055 230.7246 27.15822 -6.16922 0 -6.152219 0 -6.185318 0 -6.145584 0 0 0 46.76391 46.76391 NA 176 
2056 276.9945 30.81802 -4.290962 0 -4.252552 0 -4.29448 0 -4.233347 0 0 0 54.50255 54.50255 NA 212 
2057 341.4913 34.81922 -3.468045 0 -3.419613 0 -3.408001 0 -3.395397 0 0 0 60.53387 60.53387 NA 202 
2058 278.6372 29.41213 -3.381908 0 -3.31992 0 -3.294762 0 -3.294706 0 0 0 61.33487 61.33487 NA 219 
2059 216.6047 26.15758 -5.301655 0 -5.284529 0 -5.31196 0 -5.276737 0 0 0 49.65695 49.65695 NA 174 
2060 272.3057 31.94335 -4.868591 0 -4.841423 0 -4.890186 0 -4.829286 0 0 0 51.48687 51.48687 NA 176 
2061 192.4407 29.80234 -6.726897 0 -6.682544 0 -6.728318 0 -6.639821 0 58.39605 57.14538 28.31398 18.31854 NA 177 
2062 288.5699 29.85448 -3.488024 0 -3.379997 0 -3.351041 0 -3.325983 0 0 0 60.35373 60.35373 NA 215 
2063 235.6633 26.3719 -3.639961 0 -3.586501 0 -3.586628 0 -3.559771 0 0 0 59.04851 59.04851 NA 187 
2064 308.6625 29.8769 -3.675239 0 -3.625991 0 -3.625298 0 -3.601367 0 0 0 58.7609 58.7609 NA 253 
2065 269.0683 28.35098 -4.012061 0 -3.974344 0 -3.992716 0 -3.955486 0 0 0 56.2695 56.2695 NA 222 
2066 173.3749 28.26416 -6.963487 0 -6.943892 0 -6.968338 0 -6.920778 0 65.76121 65.13399 25.62098 20.48402 NA 173 
2067 257.6933 27.41868 -5.084629 0 -5.057017 0 -5.112538 0 -5.04574 0 0 0 50.53504 50.53504 NA 190 
2068 303.252 31.39721 -5.24641 0 -5.219992 0 -5.288122 0 -5.207507 0 0 0 49.87358 49.87358 NA 208 
2069 375.2181 37.40362 -2.638722 0 -2.14991 0 -2.059414 0 -1.908127 0 0 0 66.29157 66.29157 NA NA 
2070 233.1199 25.06364 -4.34205 0 -4.283433 0 -4.341801 0 -4.254125 0 0 0 54.20349 54.20349 NA 170 
2071 152.9211 25.52623 -7.078834 0 -7.050245 0 -7.071619 0 -7.00971 0 68.57434 67.51678 24.54757 15.81901 NA 150 
2072 309.5586 30.396 -2.892878 0 -2.658279 0 -2.621713 0 -2.543209 0 0 0 65.69201 65.69201 NA NA 
2073 275.0302 29.45082 -4.180054 0 -3.766401 0 -3.612688 0 -3.568217 0 0 0 55.17696 55.17696 NA 211 
2074 191.1043 27.86234 -7.276517 0 -7.191669 0 -7.241577 0 -7.11012 0 72.11157 70.10218 23.1002 13.24995 NA 183 
2075 184.0057 30.94342 -7.294964 0 -7.265313 0 -7.313858 0 -7.228972 0 73.85364 73.00283 22.55562 20.26078 NA 172 
2076 302.1466 29.00521 -2.935464 0 -2.792584 0 -2.75267 0 -2.727714 0 0 0 65.59191 65.59191 NA 271 
2077 235.7404 26.74563 -4.090178 0 -3.796686 0 -3.80565 0 -3.768921 0 0 0 55.7503 55.7503 NA 185 
2078 166.1432 22.3239 -5.450184 0 -5.343103 0 -5.43133 0 -5.297986 0 0 0 49.09631 49.09631 NA 99 
2079 293.9948 30.00052 -3.596382 0 -3.513784 0 -3.526213 0 -3.472484 0 0 0 59.4116 59.4116 NA 165 
2080 252.5721 27.27798 -4.945274 0 -4.922503 0 -4.958413 0 -4.912254 0 0 0 51.13949 51.13949 NA 192 
2081 336.6094 33.29607 -2.312673 0 -1.651725 0 -1.387046 0 -1.321251 0 0 0 67.06603 67.06603 NA NA 
2082 219.1822 25.13622 -5.242685 0 -5.203454 0 -5.268146 0 -5.185839 0 0 0 49.88835 49.88835 NA 174 
2083 263.4264 28.70995 -5.251028 0 -5.235273 0 -5.263989 0 -5.227884 0 0 0 49.85529 49.85529 NA 192 
2084 239.7492 24.88815 -4.068598 0 -4.028294 0 -4.057373 0 -4.008863 0 0 0 55.89174 55.89174 NA 188 
2085 259.2801 28.34504 -4.334 0 -4.300253 0 -4.330437 0 -4.28338 0 0 0 54.25015 54.25015 NA 177 
2086 282.3777 29.24775 -3.518812 0 -3.466599 0 -3.456278 0 -3.444767 0 0 0 60.08013 60.08013 NA 174 
2087 304.7823 29.2591 -3.607292 0 -3.543003 0 -3.534777 0 -3.510859 0 0 0 59.31987 59.31987 NA 205 
2088 252.2603 26.41608 -5.133385 0 -5.12743 0 -5.144007 0 -5.125011 0 0 0 50.3313 50.3313 NA 200 
2089 310.7081 29.91089 -2.9317 0 -2.711941 0 -2.681651 0 -2.656195 0 0 0 65.60075 65.60075 NA 230 
2090 232.0435 27.19861 -5.803551 0 -5.668902 0 -5.691961 0 -5.60633 0 0 0 47.87784 47.87784 NA 182 
2091 294.3917 29.79935 -4.242803 0 -4.199458 0 -4.258949 0 -4.179388 0 0 0 54.79107 54.79107 NA 215 
2092 329.7861 33.73556 -2.622348 0 -2.248842 0 -2.109966 0 -2.067475 0 0 0 66.33032 66.33032 NA NA 
2093 203.5727 22.81559 -4.225448 0 -4.202466 0 -4.218514 0 -4.190975 0 0 0 54.89665 54.89665 NA 181 
2094 185.8071 21.02257 -6.500392 0 -6.487967 0 -6.547437 0 -6.483668 0 0 0 45.86321 45.86321 NA 176 
2095 263.0445 29.06263 -4.475059 0 -4.414292 0 -4.479811 0 -4.383908 0 0 0 53.4569 53.4569 NA 197 
2096 284.394 28.1297 -3.425071 0 -3.347262 0 -3.31228 0 -3.30889 0 0 0 60.92845 60.92845 NA 192 
2097 273.0599 31.19651 -4.186287 0 -4.13504 0 -4.184858 0 -4.10974 0 0 0 55.13811 55.13811 NA 175 
2098 283.0387 30.41049 -4.614139 0 -4.045146 0 -3.862539 0 -3.848817 0 0 0 52.72227 52.72227 NA 205 
2099 299.2146 29.6504 -3.195308 0 -3.123511 0 -3.076289 0 -3.087612 0 0 0 63.21822 63.21822 NA 213 
2100 229.4624 26.20585 -7.135744 0 -7.10689 0 -7.174024 0 -7.095359 0 0 0 44.36928 44.36928 NA 182 
